opt_useAddressPrecalc,opt_vectorize,simd_avoidUnaligned,data_alignFieldPointers,opt_unroll_interleave,opt_unroll,no_explorationId,explorationId,poly_tileSize_x,poly_tileSize_y,poly_tileSize_z,labels
0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,2,1,0,0,0,0,0
0,0,0,0,0,3,1,0,0,0,0,0
0,0,0,0,0,4,1,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,2,0,1,0,0,0,0
0,0,0,0,0,3,0,1,0,0,0,0
0,0,0,0,0,4,0,1,0,0,0,0
0,0,0,0,0,1,0,2,0,0,0,0
0,0,0,0,0,2,0,2,0,0,0,0
0,0,0,0,0,3,0,2,0,0,0,0
0,0,0,0,0,4,0,2,0,0,0,0
0,0,0,0,0,1,0,3,0,0,0,0
0,0,0,0,0,2,0,3,0,0,0,0
0,0,0,0,0,3,0,3,0,0,0,0
0,0,0,0,0,4,0,3,0,0,0,0
0,0,0,0,0,1,0,4,0,0,0,0
0,0,0,0,0,2,0,4,0,0,0,0
0,0,0,0,0,3,0,4,0,0,0,0
0,0,0,0,0,4,0,4,0,0,0,0
0,0,0,0,0,1,0,1,8,0,0,0
0,0,0,0,0,2,0,1,8,0,0,0
0,0,0,0,0,3,0,1,8,0,0,0
0,0,0,0,0,4,0,1,8,0,0,0
0,0,0,0,0,1,0,2,8,0,0,0
0,0,0,0,0,2,0,2,8,0,0,0
0,0,0,0,0,3,0,2,8,0,0,0
0,0,0,0,0,4,0,2,8,0,0,0
0,0,0,0,0,1,0,3,8,0,0,0
0,0,0,0,0,2,0,3,8,0,0,0
0,0,0,0,0,3,0,3,8,0,0,0
0,0,0,0,0,4,0,3,8,0,0,0
0,0,0,0,0,1,0,4,8,0,0,0
0,0,0,0,0,2,0,4,8,0,0,0
0,0,0,0,0,3,0,4,8,0,0,0
0,0,0,0,0,4,0,4,8,0,0,0
0,0,0,0,0,1,0,1,10,0,0,0
0,0,0,0,0,2,0,1,10,0,0,0
0,0,0,0,0,3,0,1,10,0,0,0
0,0,0,0,0,4,0,1,10,0,0,0
0,0,0,0,0,1,0,2,10,0,0,0
0,0,0,0,0,2,0,2,10,0,0,0
0,0,0,0,0,3,0,2,10,0,0,0
0,0,0,0,0,4,0,2,10,0,0,0
0,0,0,0,0,1,0,3,10,0,0,0
