#
 0,                  original,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,                     PCA/2,  0.00,  0.00, *-------------------|------------------ ,  0.00,  0.00,  0.00,  0.01,  0.32
 0,                     PCA/4,  0.00,  0.01, *                   |                   ,  0.00,  0.00,  0.00,  0.01,  0.01
 0,             autoencoder/3,  0.00,  0.00, *-------------------|-----              ,  0.00,  0.00,  0.00,  0.01,  0.21
 0,             autoencoder/5,  0.00,  0.01, *-------------------|-----              ,  0.00,  0.00,  0.00,  0.01,  0.21
 0,                     PCA/3,  0.00,  0.01, *                   |                   ,  0.00,  0.00,  0.00,  0.01,  0.01
 0,                     PCA/5,  0.00,  0.00, *-------------------|-----              ,  0.00,  0.00,  0.00,  0.01,  0.21
 0,             autoencoder/4,  0.00,  0.00, *-------------------|-----              ,  0.00,  0.00,  0.00,  0.01,  0.21
#
 1,             autoencoder/2,  0.01,  0.02,  *---               |                   ,  0.00,  0.00,  0.01,  0.02,  0.05
